,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,fantasy_points,fantasy_points_8_9,predicted_points,actual_points
45,Caleb Swanigan,PORTLAND TRAIL BLAZERS,2020-02-27,AWAY,INDIANA PACERS,18.25535745344906,1.5348950714366352,0.14057315612208465,0.8533240447067751,4.297984507155459,1.1847803216960124,0.34648449870346915,0.41277467491111147,0.5733640621506513,11.78275,0,13.682474743340876,12.983999005769961,12.5
46,Kyle O'Quinn,PHILADELPHIA 76ERS,2020-02-27,HOME,NEW YORK KNICKS,18.985430903059342,1.8001078178883954,0.22556785238919871,0.6965535966537784,4.787328435746948,0.8401354222588756,1.1461251023887238,0.48335424255118586,0.5834212592396948,17.254,0,16.21262830242198,16.283486821462848,19.5
47,Marquese Chriss,GOLDEN STATE WARRIORS,2020-02-27,HOME,LOS ANGELES LAKERS,26.588360075659367,5.28718624126376,0.3410843453307433,3.038264318671372,8.278671683561441,1.7589586357207205,1.3673963237643734,0.6217090336210149,1.5017829254170065,33.81,0,31.74251217195997,31.67426695778509,20.4
48,Trevor Ariza,PORTLAND TRAIL BLAZERS,2020-02-27,AWAY,INDIANA PACERS,25.546847467506055,2.4045013456841096,1.1492761237575075,1.6361437591206902,5.121973623258575,1.7513417695042826,0.5353157048731623,1.172146465839606,0.9316816921627824,24.913749999999997,0,22.867787555649635,22.857060643903672,18.2
49,Quinn Cook,LOS ANGELES LAKERS,2020-02-27,AWAY,GOLDEN STATE WARRIORS,17.396482116821613,0.6193319536231539,0.6310914018175238,0.023248011472220786,1.134865633193889,0.38289610396244805,0.054791319060909095,0.42933727442314623,0.2827062553901723,4.76525,0,7.358026601832236,6.261048565009432,10.5
50,Allonzo Trier,NEW YORK KNICKS,2020-02-27,AWAY,PHILADELPHIA 76ERS,18.722063814517938,1.7150093917494316,0.7095641655940619,0.5588382721373474,1.3284099159403349,0.71247799807057,0.10009053389900667,0.4531568204227248,0.4074852971076921,8.07875,0,9.856532636594789,10.032615214510153,8.7
51,Matisse Thybulle,PHILADELPHIA 76ERS,2020-02-27,HOME,NEW YORK KNICKS,18.8931419314918,0.9979589524660353,0.5256112482492823,0.0,1.937885247265101,1.0435691450284883,0.36487131177239734,0.8693560009072382,0.37365079594821604,9.549000000000001,0,11.000973362379998,10.79259880603146,11.7
52,Ky Bowman,GOLDEN STATE WARRIORS,2020-02-27,HOME,LOS ANGELES LAKERS,23.413867678640777,2.8733277421258197,0.750620388610568,1.5786082911030659,3.5969740454461636,3.3021404537634087,0.4830633853431414,0.9600258906563301,1.660381145142821,18.887249999999998,0,20.725750543826162,21.51559115922251,19.6
53,Bogdan Bogdanović,SACRAMENTO KINGS,2020-02-27,AWAY,OKLAHOMA CITY THUNDER,29.148723368893336,2.3272402122895994,2.643808236318251,1.7493849397207757,3.1422610092055443,2.3392510471884407,0.2624297476619186,0.9306555808144343,1.3853742466699468,24.28275,0,24.150844888531978,23.808761593843155,22.8
54,Luguentz Dort,OKLAHOMA CITY THUNDER,2020-02-27,HOME,SACRAMENTO KINGS,21.143651540575238,1.5928364646196878,0.9567542507970537,0.5565984186297479,2.3553000243324806,0.8454824335054447,0.1842049980934921,0.8071096755138312,0.5674002187831304,13.10225,0,13.15754607447824,13.113661581756269,9.0
55,Abdel Nader,OKLAHOMA CITY THUNDER,2020-02-27,HOME,SACRAMENTO KINGS,20.064318892033306,1.5117812172192924,0.7396277484995326,0.7739851500656965,3.0513337529921944,0.7412276023462401,0.32768449003211675,0.6202668855901814,0.41171969104808337,13.05175,0,13.027080785929897,13.222007172931686,9.9
56,Alec Burks,PHILADELPHIA 76ERS,2020-02-27,HOME,NEW YORK KNICKS,25.552438598733996,2.7933576746721585,1.7722747001604537,1.7905903583370884,2.9158251775779718,1.9633935851387847,0.21684631150535072,0.7902627880670388,1.1718525446419021,20.677750000000003,0,21.27206466518408,20.987685153039777,14.8
57,Kent Bazemore,SACRAMENTO KINGS,2020-02-27,AWAY,OKLAHOMA CITY THUNDER,27.408632875725992,3.1855246654959277,1.1273264820451379,2.4249062360915814,5.601065294860607,1.7546532585623975,0.6071412683442778,1.1012182602941782,1.227978550849984,27.721,0,25.204060279713623,25.42829328996056,17.5
58,Kevon Looney,GOLDEN STATE WARRIORS,2020-02-27,HOME,LOS ANGELES LAKERS,20.875547949365224,1.6515181957651075,0.5466874708337341,0.40218495809724497,3.2556617488033597,1.3552633187636542,0.3735594479365889,0.7967246796103742,0.8319051346538582,12.904250000000001,0,13.865724161229942,13.963920086825205,15.8
59,Glenn Robinson,PHILADELPHIA 76ERS,2020-02-27,HOME,NEW YORK KNICKS,22.451668611586662,2.357059482165229,0.8612396405755951,0.7210814563352954,2.8963811099300587,1.3200910575443228,0.2893230864463754,0.8824393669778414,0.8238973944671533,16.093249999999998,0,17.045412100220766,16.16610322643059,9.6
60,Mike Scott,PHILADELPHIA 76ERS,2020-02-27,HOME,NEW YORK KNICKS,18.107575483429326,0.43120681069737776,0.7816268559258752,0.0,2.367429129928347,0.7196572649883869,0.13097370139318046,0.4071939542449877,0.1704659014632819,6.454,0,9.463409272075403,8.571732108020203,6.7
61,Reggie Bullock,NEW YORK KNICKS,2020-02-27,AWAY,PHILADELPHIA 76ERS,23.421974242229076,1.2050264251302352,1.357282410463556,0.80969442982531,2.2843061532242857,1.5334918098954047,0.1701219179386282,0.7349490748541709,0.8348080202588686,14.539000000000001,0,14.623961366901035,14.213404568308224,4.7
