,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,predicted_points,actual_points
97,Shake Milton,PHILADELPHIA 76ERS,2020-02-11,HOME,LOS ANGELES CLIPPERS,22.8665,2.904574,1.4636399999999998,1.7072200000000004,4.477281,3.43256,0.34978,1.26297,1.3581400000000001,16.578,25.9089752,0.0
98,Gary Payton,WASHINGTON WIZARDS,2020-02-11,HOME,CHICAGO BULLS,14.468166666666667,2.2102607016140356,0.8000286980701754,0.7992352333508771,3.84406243131579,2.1061386364912282,0.41998803385964917,0.9265490081578948,0.8969501850877198,8.88,18.534586544070176,0.0
99,Norvel Pelle,PHILADELPHIA 76ERS,2020-02-11,HOME,LOS ANGELES CLIPPERS,11.636666666666667,1.8686649298245612,0.4691414035087719,1.0305125771929826,3.4658445889473684,1.3051440350877193,0.755440150877193,0.5720646578947368,0.6694329350877194,13.220999999999998,15.605077697964909,0.0
100,Caleb Swanigan,PORTLAND TRAIL BLAZERS,2020-02-11,AWAY,NEW ORLEANS PELICANS,16.609166666666667,2.8790102216666664,0.7107674333333334,1.4172977808333334,5.29773323,2.3589912000000006,0.43056205000000003,0.795482925,1.1022192666666668,12.512,21.779302858500003,7.5
101,Terrance Ferguson,OKLAHOMA CITY THUNDER,2020-02-11,HOME,SAN ANTONIO SPURS,18.034666666666666,2.1362423359999996,1.009428769122807,1.2805657445614034,3.8716053553684215,2.4031288252631584,0.3620791550877193,1.1068539368421053,0.9988737431578943,6.601999999999999,20.23988192089825,1.5
102,Romeo Langford,BOSTON CELTICS,2020-02-11,AWAY,HOUSTON ROCKETS,13.879,2.122665947578947,0.7471284842105262,1.6256560356842105,2.9532247531578943,1.5208462105263156,0.49079065894736845,0.7452803857894736,0.7505909294736846,10.28,16.89513460778947,0.0
103,Rodney McGruder,LOS ANGELES CLIPPERS,2020-02-11,AWAY,PHILADELPHIA 76ERS,17.7675,3.105130591578947,0.8944159499999998,1.586139324868421,4.691944146315788,2.5930076526315786,0.32643573157894734,1.135146872368421,1.172411865789474,11.638,23.21182875860526,0.0
104,Austin Rivers,HOUSTON ROCKETS,2020-02-11,HOME,BOSTON CELTICS,24.016666666666666,2.353433999999999,1.69476,2.0879490000000005,4.110036,2.6258000000000004,0.34096000000000004,1.1808,1.1427699999999996,14.422999999999998,24.1723502,4.4
105,Nickeil Alexander-Walker,NEW ORLEANS PELICANS,2020-02-11,HOME,PORTLAND TRAIL BLAZERS,4.5825,0.6609788352631578,0.2048763394736842,0.23850610105263154,0.9067098505263157,0.6288926526315789,0.0801213947368421,0.25301911973684205,0.3177264315789473,2.664,4.888178701421053,1.2
106,Mike Scott,PHILADELPHIA 76ERS,2020-02-11,HOME,LOS ANGELES CLIPPERS,15.422166666666667,1.7767439902456132,1.0977011217543862,0.9641662624385967,4.132068420236842,1.8315040456140352,0.2939789643859649,0.846287337368421,0.8118066194736843,11.551999999999998,18.12548806668772,0.0
107,Marco Belinelli,SAN ANTONIO SPURS,2020-02-11,AWAY,OKLAHOMA CITY THUNDER,14.661333333333333,1.3838971430175435,1.1228112056140354,1.2068545981754386,2.977052410105263,2.2997921796491227,0.24293057684210526,0.7558997642105263,0.8828669108771932,8.747000000000002,16.478857774933335,1.2
108,Furkan Korkmaz,PHILADELPHIA 76ERS,2020-02-11,HOME,LOS ANGELES CLIPPERS,26.612666666666666,1.9053500000000003,2.52722,1.618204,5.320197,3.2003600000000003,0.4976400000000001,1.31043,1.3535299999999997,30.741,28.266020400000006,4.2
109,Nerlens Noel,OKLAHOMA CITY THUNDER,2020-02-11,HOME,SAN ANTONIO SPURS,19.6445,4.103397999999999,0.79596,1.668794,6.524979,2.4607200000000002,1.1313,1.35225,1.1841400000000002,21.712000000000003,30.0510348,0.19999999999999996
110,Enes Kanter,BOSTON CELTICS,2020-02-11,AWAY,HOUSTON ROCKETS,21.780166666666666,4.5572,0.87086,3.058691,8.720793,2.45848,0.992,1.00539,1.1880999999999995,24.854,33.7424126,1.5999999999999996
