,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average
142,Chris Boucher,TORONTO RAPTORS,2020-01-02,AWAY,MIAMI HEAT,0.0,2.2445999999999993,0.766,1.373,3.495,2.06,0.329,0.7538999999999999,0.329,0.0
143,Meyers Leonard,MIAMI HEAT,2020-01-02,HOME,TORONTO RAPTORS,0.0,2.2090999999999994,0.766,1.0441,3.495,2.06,0.329,0.6636000000000001,0.329,0.0
144,Jerome Robinson,LOS ANGELES CLIPPERS,2020-01-02,HOME,DETROIT PISTONS,0.0,2.3582,0.766,1.0441,3.495,2.06,0.329,0.6507000000000002,0.329,0.0
145,Kris Dunn,CHICAGO BULLS,2020-01-02,HOME,UTAH JAZZ,0.0,2.1097,0.766,1.0441,3.495,2.06,0.329,0.7926000000000001,0.329,0.0
146,Duncan Robinson,MIAMI HEAT,2020-01-02,HOME,TORONTO RAPTORS,0.0,2.2090999999999994,0.766,1.0441,3.495,2.06,0.329,0.6636000000000001,0.329,0.0
147,Theo Pinson,BROOKLYN NETS,2020-01-02,AWAY,DALLAS MAVERICKS,0.0,2.4646999999999997,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
148,Draymond Green,GOLDEN STATE WARRIORS,2020-01-02,AWAY,MINNESOTA TIMBERWOLVES,0.0,2.6209000000000007,0.766,1.373,3.495,2.06,0.329,0.5346000000000001,0.329,0.0
149,Kevin Porter,CLEVELAND CAVALIERS,2020-01-02,HOME,CHARLOTTE HORNETS,0.0,2.5924999999999994,0.766,1.0441,3.495,2.06,0.329,0.4701000000000001,0.329,0.0
150,Taurean Waller-Prince,BROOKLYN NETS,2020-01-02,AWAY,DALLAS MAVERICKS,0.0,2.4646999999999997,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
151,Keita Bates-Diop,MINNESOTA TIMBERWOLVES,2020-01-02,HOME,GOLDEN STATE WARRIORS,0.0,2.3795,0.766,1.0441,3.495,2.06,0.329,0.6893999999999999,0.329,0.0
152,Derrick Jones,MIAMI HEAT,2020-01-02,HOME,TORONTO RAPTORS,0.0,2.2090999999999994,0.766,1.0441,3.495,2.06,0.329,0.6636000000000001,0.329,0.0
153,Royce O'Neale,UTAH JAZZ,2020-01-02,AWAY,CHICAGO BULLS,0.0,2.6422000000000008,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
154,Tristan Thompson,CLEVELAND CAVALIERS,2020-01-02,HOME,CHARLOTTE HORNETS,0.0,2.5924999999999994,0.766,1.0441,3.495,2.06,0.329,0.4701000000000001,0.329,0.0
