name,pos,team,rank
"Bagley, Marvin",PF/C,Sacramento,6.5
"Morris, Markieff",PF/C,Detroit,28.5
"Hernandez, Dewan",PF/C,Toronto,2.5
"Siakam, Pascal",PF/C,Toronto,2.5
"Looney, Kevon",PF/C,Golden State,14.5
"Claxton, Nicolas",PF/C,Brooklyn,15.5
"Cook, Tyler",PF/C,Cleveland,28.0
"Porzingis, Kristaps",PF/C,Dallas,15.5
"Bol, Bol",C,Denver,9.0
"Patton, Justin",C,Oklahoma City,23.0
"Kabengele, Mfiondu",PF/C,LA Clippers,16.5
"Dedmon, Dewayne",C,Sacramento,3.0
"Gasol, Marc",C,Toronto,1.0
"Cauley-Stein, Willie",C,Golden State,6.0
"Harden, James^",PG/SG,Houston,12.0
"Simmons, Ben^",PG/SF,Philadelphia,2.0
"Young, Trae^",PG,Atlanta,28.0
"Smart, Marcus^",PG/SG,Boston,12.5
"Westbrook, Russell^",PG,Houston,4.0
"Huerter, Kevin^",PG/SG,Atlanta,29.0
"Ball, Lonzo^",PG,New Orleans,26.0
"Holiday, Jrue^",PG/SG,New Orleans,22.5
"Goodwin, Brandon",PG/SG,Atlanta,29.0
"Burke, Trey",PG/SG,Philadelphia,4.5
"Wanamaker, Brad",PG/SG,Boston,12.5
"Rivers, Austin",PG/SG,Houston,12.0
"Waters, Tremont",PG,Boston,8.0
"Neto, Raul",PG,Philadelphia,1.0
"Alexander-Walker, Nickeil",PG/SG,New Orleans,22.5
"Green, Javonte",SG,Boston,17.0
"Milton, Shake",PG/SG,Philadelphia,4.5
"Clemons, Chris",PG,Houston,4.0
"Beal, Bradley",SG,Washington,18.0
"Jackson, Frank",PG/SG,New Orleans,22.5
"Edwards, Carsen",PG,Boston,8.0
"Walker, Kemba",PG,Boston,8.0
"Turner, Evan",PG/SG,Atlanta,29.0
"Gray, Josh",PG,New Orleans,26.0
"Frazier, Michael",PG/SG,Houston,12.0
"Brown, Jaylen^",SG/SF,Boston,11.0
"Ingram, Brandon^",SF/PF,New Orleans,23.0
"Harris, Tobias^",SF/PF,Philadelphia,2.5
